"","DATE","X","project_id","site_id","datetime","duration","variable","observation","update","meanTemp","minTemp","maxTemp","meanRH","minRH","maxRH","totalPrecipitation","meanWindSpeed","maxWindSpeed","meanTempLag1","minTempLag1","maxTempLag1","meanRHLag1","minRHLag1","maxRHLag1","totalPrecipitationLag1","meanWindSpeedLag1","maxWindSpeedLag1"
"1","2020-04-06",1,"neon4cast","HARV","2020-04-06","P1D","gcc_90",0.32804,0.32804,41.1090909090909,31,62,74.2363636363636,14,100,0,2.83333333333333,17,47.8666666666667,39,59,81.3666666666667,60,100,0,2.96666666666667,10
"2","2020-04-07",2,"neon4cast","HARV","2020-04-07","P1D","gcc_90",0.32794,0.32794,48.5416666666667,32,63,47.5416666666667,17,82,0,4.5,14,41.1090909090909,31,62,74.2363636363636,14,100,0,2.83333333333333,17
"3","2020-04-08",3,"neon4cast","HARV","2020-04-08","P1D","gcc_90",0.32859,0.32859,47.625,35,58,56.0526315789474,31,80,0,2.45833333333333,9,48.5416666666667,32,63,47.5416666666667,17,82,0,4.5,14
"4","2020-04-09",4,"neon4cast","HARV","2020-04-09","P1D","gcc_90",0.3288,0.3288,42.4,32,48,81.3611111111111,49,93,1.35,7.32,20,47.625,35,58,56.0526315789474,31,80,0,2.45833333333333,9
"5","2020-04-10",5,"neon4cast","HARV","2020-04-10","P1D","gcc_90",0.32782,0.32782,40.5,37,47,65.9285714285714,46,89,0.15,12.6428571428571,21,42.4,32,48,81.3611111111111,49,93,1.35,7.32,20
"6","2020-04-11",6,"neon4cast","HARV","2020-04-11","P1D","gcc_90",0.32795,0.32795,40.7916666666667,31,49,48.75,29,76,0,10.375,20,40.5,37,47,65.9285714285714,46,89,0.15,12.6428571428571,21
"7","2020-04-12",7,"neon4cast","HARV","2020-04-12","P1D","gcc_90",0.32869,0.32869,44.8333333333333,25,60,56.0833333333333,28,85,0,5.375,20,40.7916666666667,31,49,48.75,29,76,0,10.375,20
"8","2020-04-13",8,"neon4cast","HARV","2020-04-13","P1D","gcc_90",0.32971,0.32971,57.7090909090909,46,62,87.0727272727273,61,94,3.68,12.7777777777778,22,44.8333333333333,25,60,56.0833333333333,28,85,0,5.375,20
"9","2020-04-14",9,"neon4cast","HARV","2020-04-14","P1D","gcc_90",0.32905,0.32905,47.7916666666667,42,53,40.9583333333333,19,62,0,8.08333333333333,14,57.7090909090909,46,62,87.0727272727273,61,94,3.68,12.7777777777778,22
"10","2020-04-15",10,"neon4cast","HARV","2020-04-15","P1D","gcc_90",0.328,0.328,41.5769230769231,28,49,45.3846153846154,20,79,0,8.23076923076923,23,47.7916666666667,42,53,40.9583333333333,19,62,0,8.08333333333333,14
"11","2020-04-16",11,"neon4cast","HARV","2020-04-16","P1D","gcc_90",0.32808,0.32808,35.8285714285714,31,44,62.3714285714286,28,93,0.03,6.28571428571429,24,41.5769230769231,28,49,45.3846153846154,20,79,0,8.23076923076923,23
"12","2020-04-17",12,"neon4cast","HARV","2020-04-17","P1D","gcc_90",0.328,0.328,40.2692307692308,31,49,48.3461538461538,22,93,0.07,8.38461538461539,16,35.8285714285714,31,44,62.3714285714286,28,93,0.03,6.28571428571429,24
"13","2020-04-18",13,"neon4cast","HARV","2020-04-18","P1D","gcc_90",0.33055,0.33055,35.6,30,43,90.9466666666667,71,100,0.87,3.57333333333333,10,40.2692307692308,31,49,48.3461538461538,22,93,0.07,8.38461538461539,16
"14","2020-04-19",14,"neon4cast","HARV","2020-04-19","P1D","gcc_90",0.3284,0.3284,43.1785714285714,26,62,66.8571428571429,29,96,0,6.89285714285714,22,35.6,30,43,90.9466666666667,71,100,0.87,3.57333333333333,10
"15","2020-04-20",15,"neon4cast","HARV","2020-04-20","P1D","gcc_90",0.328,0.328,45.2083333333333,31,55,47.7619047619048,21,89,0,5.34782608695652,15,43.1785714285714,26,62,66.8571428571429,29,96,0,6.89285714285714,22
"16","2020-04-21",16,"neon4cast","HARV","2020-04-21","P1D","gcc_90",0.32952,0.32952,42.3636363636364,29,50,71.7777777777778,44,90,0.8,9.09090909090909,21,45.2083333333333,31,55,47.7619047619048,21,89,0,5.34782608695652,15
"17","2020-04-22",17,"neon4cast","HARV","2020-04-22","P1D","gcc_90",0.32782,0.32782,36.6666666666667,32,42,40.2916666666667,30,54,0,14,26,42.3636363636364,29,50,71.7777777777778,44,90,0.8,9.09090909090909,21
"18","2020-04-23",18,"neon4cast","HARV","2020-04-23","P1D","gcc_90",0.32855,0.32855,41.8333333333333,24,55,30.4210526315789,13,68,0,6.625,14,36.6666666666667,32,42,40.2916666666667,30,54,0,14,26
"19","2020-04-24",19,"neon4cast","HARV","2020-04-24","P1D","gcc_90",0.32847,0.32847,40.4358974358974,34,51,84.8571428571429,54,97,0.08,1.87179487179487,8,41.8333333333333,24,55,30.4210526315789,13,68,0,6.625,14
"20","2020-04-25",20,"neon4cast","HARV","2020-04-25","P1D","gcc_90",0.32876,0.32876,47.5,34,65,64.1666666666667,25,100,0,3.36666666666667,9,40.4358974358974,34,51,84.8571428571429,54,97,0.08,1.87179487179487,8
"21","2020-04-26",21,"neon4cast","HARV","2020-04-26","P1D","gcc_90",0.32989,0.32989,45.0769230769231,39,53,59.4615384615385,22,87,0.15,7.46153846153846,17,47.5,34,65,64.1666666666667,25,100,0,3.36666666666667,9
"22","2020-04-27",22,"neon4cast","HARV","2020-04-27","P1D","gcc_90",0.32617,0.32617,39.7555555555556,37,43,85.7333333333333,76,93,0.26,10.2888888888889,18,45.0769230769231,39,53,59.4615384615385,22,87,0.15,7.46153846153846,17
"23","2020-04-28",23,"neon4cast","HARV","2020-04-28","P1D","gcc_90",0.32884,0.32884,46.04,35,59,64,32,93,0,8.04,16,39.7555555555556,37,43,85.7333333333333,76,93,0.26,10.2888888888889,18
"24","2020-04-29",24,"neon4cast","HARV","2020-04-29","P1D","gcc_90",0.3302,0.3302,41.825,30,64,70.025,26,96,0,4.075,14,46.04,35,59,64,32,93,0,8.04,16
"25","2020-04-30",25,"neon4cast","HARV","2020-04-30","P1D","gcc_90",0.33035,0.33035,46.9615384615385,42,52,82,48,93,1.22,6.98039215686275,14,41.825,30,64,70.025,26,96,0,4.075,14
"26","2020-05-01",26,"neon4cast","HARV","2020-05-01","P1D","gcc_90",0.33067,0.33067,57.0208333333333,52,66,86.6458333333333,65,97,1.95,4.52083333333333,16,46.9615384615385,42,52,82,48,93,1.22,6.98039215686275,14
"27","2020-05-02",27,"neon4cast","HARV","2020-05-02","P1D","gcc_90",0.32927,0.32927,56.4583333333333,41,69,53.2083333333333,25,80,0,8.58333333333333,18,57.0208333333333,52,66,86.6458333333333,65,97,1.95,4.52083333333333,16
"28","2020-05-03",28,"neon4cast","HARV","2020-05-03","P1D","gcc_90",0.32998,0.32998,63.9583333333333,51,80,53.0416666666667,17,89,0,6.625,16,56.4583333333333,41,69,53.2083333333333,25,80,0,8.58333333333333,18
"29","2020-05-04",29,"neon4cast","HARV","2020-05-04","P1D","gcc_90",0.33114,0.33114,56.4583333333333,46,66,47.3333333333333,27,77,0,11.3333333333333,21,63.9583333333333,51,80,53.0416666666667,17,89,0,6.625,16
"30","2020-05-05",30,"neon4cast","HARV","2020-05-05","P1D","gcc_90",0.32906,0.32906,48.7916666666667,38,60,45.125,26,76,0,9.30434782608696,17,56.4583333333333,46,66,47.3333333333333,27,77,0,11.3333333333333,21
"31","2020-05-06",31,"neon4cast","HARV","2020-05-06","P1D","gcc_90",0.32999,0.32999,47.3333333333333,31,60,59.625,28,89,0,3.20833333333333,9,48.7916666666667,38,60,45.125,26,76,0,9.30434782608696,17
"32","2020-05-07",32,"neon4cast","HARV","2020-05-07","P1D","gcc_90",0.32903,0.32903,48.7096774193548,34,64,55.28125,15,97,0,6.28125,22,47.3333333333333,31,60,59.625,28,89,0,3.20833333333333,9
"33","2020-05-08",33,"neon4cast","HARV","2020-05-08","P1D","gcc_90",0.32853,0.32853,47.7777777777778,41,58,56.7037037037037,21,89,0.13,9.92592592592593,18,48.7096774193548,34,64,55.28125,15,97,0,6.28125,22
"34","2020-05-09",34,"neon4cast","HARV","2020-05-09","P1D","gcc_90",0.3286,0.3286,36,33,42,73.078431372549,35,89,0.14,12.1372549019608,21,47.7777777777778,41,58,56.7037037037037,21,89,0.13,9.92592592592593,18
"35","2020-05-10",35,"neon4cast","HARV","2020-05-10","P1D","gcc_90",0.32955,0.32955,46.625,36,58,48.25,27,79,0,9.125,21,36,33,42,73.078431372549,35,89,0.14,12.1372549019608,21
"36","2020-05-11",36,"neon4cast","HARV","2020-05-11","P1D","gcc_90",0.32922,0.32922,46.34375,32,60,76.34375,41,93,0.2,5.96875,17,46.625,36,58,48.25,27,79,0,9.125,21
"37","2020-05-12",37,"neon4cast","HARV","2020-05-12","P1D","gcc_90",0.32781,0.32781,45.5833333333333,37,52,49.1666666666667,27,76,0,11.4583333333333,22,46.34375,32,60,76.34375,41,93,0.2,5.96875,17
"38","2020-05-13",38,"neon4cast","HARV","2020-05-13","P1D","gcc_90",0.32766,0.32766,45.9583333333333,28,61,46,17,88,0,8.54166666666667,20,45.5833333333333,37,52,49.1666666666667,27,76,0,11.4583333333333,22
"39","2020-05-14",39,"neon4cast","HARV","2020-05-14","P1D","gcc_90",0.32793,0.32793,55.72,30,72,41.52,10,89,0.01,6.32,16,45.9583333333333,28,61,46,17,88,0,8.54166666666667,20
"40","2020-05-15",40,"neon4cast","HARV","2020-05-15","P1D","gcc_90",0.33274,0.33274,63.972972972973,53,80,78.7837837837838,45,93,3.61,8.24324324324324,38,55.72,30,72,41.52,10,89,0.01,6.32,16
"41","2020-05-16",41,"neon4cast","HARV","2020-05-16","P1D","gcc_90",0.33552,0.33552,63.1428571428571,55,71,63.4782608695652,36,90,0,9.66666666666667,21,63.972972972973,53,80,78.7837837837838,45,93,3.61,8.24324324324324,38
"42","2020-05-17",42,"neon4cast","HARV","2020-05-17","P1D","gcc_90",0.34039,0.34039,58.9,54,68,60.3529411764706,47,81,0,3.7,11,63.1428571428571,55,71,63.4782608695652,36,90,0,9.66666666666667,21
"43","2020-05-18",43,"neon4cast","HARV","2020-05-18","P1D","gcc_90",0.3486,0.3486,57.5416666666667,45,68,73.3333333333333,43,93,0.01,1.41666666666667,6,58.9,54,68,60.3529411764706,47,81,0,3.7,11
"44","2020-05-19",44,"neon4cast","HARV","2020-05-19","P1D","gcc_90",0.34556,0.34556,55.7083333333333,43,66,49.875,27,93,0,7.33333333333333,18,57.5416666666667,45,68,73.3333333333333,43,93,0.01,1.41666666666667,6
"45","2020-05-20",45,"neon4cast","HARV","2020-05-20","P1D","gcc_90",0.349,0.349,54.5185185185185,37,72,56.8,20,93,0,2.81481481481481,10,55.7083333333333,43,66,49.875,27,93,0,7.33333333333333,18
"46","2020-05-21",46,"neon4cast","HARV","2020-05-21","P1D","gcc_90",0.35609,0.35609,60.2083333333333,37,78,40.2352941176471,13,83,0,6.58333333333333,14,54.5185185185185,37,72,56.8,20,93,0,2.81481481481481,10
"47","2020-05-22",47,"neon4cast","HARV","2020-05-22","P1D","gcc_90",0.36924,0.36924,64.2068965517241,45,86,72.6206896551724,31,100,0,4.89655172413793,14,60.2083333333333,37,78,40.2352941176471,13,83,0,6.58333333333333,14
"48","2020-05-23",48,"neon4cast","HARV","2020-05-23","P1D","gcc_90",0.39218,0.39218,64.32,48,74,59.32,21,100,0.04,7.28,14,64.2068965517241,45,86,72.6206896551724,31,100,0,4.89655172413793,14
"49","2020-05-24",49,"neon4cast","HARV","2020-05-24","P1D","gcc_90",0.38592,0.38592,58.25,41,73,56.5833333333333,26,96,0,5.125,11,64.32,48,74,59.32,21,100,0.04,7.28,14
"50","2020-05-25",50,"neon4cast","HARV","2020-05-25","P1D","gcc_90",0.40077,0.40077,59.7777777777778,47,72,93.462962962963,68,100,0,2.35185185185185,11,58.25,41,73,56.5833333333333,26,96,0,5.125,11
"51","2020-05-26",51,"neon4cast","HARV","2020-05-26","P1D","gcc_90",0.41138,0.41138,69.4594594594595,58,86,85.1081081081081,51,100,0,4.94594594594595,11,59.7777777777778,47,72,93.462962962963,68,100,0,2.35185185185185,11
