"","uf","date","epiweek","cases","minTemp","medTemp","maxTemp","minPrecip","medPrecip","maxPrecip","minPressure","medPressure","maxPressure","minRH","medRH","maxRH","meanRainyDays","meanThermalRange","enso","iod","pdo","population","test"
"1","BA",2010-01-17,201003,623,17.2047857142857,25.9313,34.3644142857143,0,4.04,31.4038,0.873828571428572,0.954042857142857,1.00047142857143,30.1487142857143,68.2835142857143,97.4257857142857,6.86506024096386,9.03948726333907,1.011607,-0.391772,0.025017,14149295,"Y"
"2","BA",2010-01-24,201004,634,16.8308857142857,26.2902857142857,34.6945428571429,0,3.1765,62.0462,0.872228571428571,0.952628571428571,0.998942857142857,29.1772,66.8407142857143,97.2253428571429,6.87228915662651,9.0343004475043,0.963117,-0.113171,0.144907,14149295,"Y"
"3","BA",2010-01-31,201005,866,17.5025714285714,26.4021,35.6700142857143,0,3.6638,30.1468,0.873914285714286,0.954428571428571,1.00027142857143,26.8259285714286,67.1626571428571,97.3959714285714,6.41686746987952,9.27594616179002,1.212455,-0.014519,0.327712,14149295,"Y"
"4","BA",2010-02-28,201009,1405,18.8615142857143,26.1135857142857,34.6074428571429,0.0097,30.1198,356.782,0.872228571428571,0.951914285714286,0.997914285714286,35.6964714285714,78.7591428571429,97.8459857142857,6.98072289156627,7.45073748709122,1.161794,0.765147,-0.07553,14149295,"Y"
"5","BA",2010-03-07,201010,1633,18.5513571428571,26.2890428571429,34.9161714285714,0.0959,19.7841,117.2644,0.8722,0.951542857142857,0.997842857142857,32.3925857142857,78.3342285714286,98.6729714285714,6.62650602409639,8.07934585197935,1.0529,0.669896,-0.338995,14149295,"Y"
"6","BA",2010-04-04,201014,2030,18.2095,24.4590285714286,30.9803857142857,0.7192,32.5347,292.6949,0.872114285714286,0.951814285714286,0.997985714285714,52.3469857142857,82.1734142857143,98.3839857142857,6.99518072289157,5.80874991394148,0.710096,0.276543,-0.35224,14149295,"Y"
"7","BA",2010-04-11,201015,1655,16.7161142857143,23.4105,29.8911285714286,1e-04,10.2235,198.3527,0.874271428571429,0.955314285714286,1.00057142857143,45.8864,82.9930285714286,98.1415857142857,6.87951807228916,5.39584454388985,0.659379,0.107043,-0.0335,14149295,"Y"
"8","BA",2010-04-18,201016,1620,16.7327857142857,24.3717142857143,32.0667714285714,0,3.9599,34.4678,0.8745,0.954871428571429,1.00092857142857,37.6797,79.2189571428571,99.0521428571429,6.48433734939759,7.29528148020654,0.493075,-0.084025,-0.307547,14149295,"Y"
"9","BA",2010-05-16,201020,2239,16.7085142857143,23.942,32.5476,0,3.0171,95.2659,0.873742857142857,0.954157142857143,1.00058571428571,35.4402428571429,78.5595428571429,98.3794857142857,6.6,7.04414444061962,0.005523,-0.058332,-0.371621,14149295,"Y"
"10","BA",2010-05-23,201021,2047,16.2637571428571,23.9443857142857,32.9419571428571,0,3.1812,23.7408,0.874028571428571,0.954685714285714,1.00117142857143,31.2617142857143,77.2996714285714,97.7381857142857,6.21204819277108,7.04369655765921,-0.151281,-0.313761,-0.391363,14149295,"Y"
"11","BA",2010-05-30,201022,1764,14.9918857142857,23.1500857142857,32.1096142857143,0,3.0941,56.4707,0.876785714285714,0.958457142857143,1.00434285714286,28.2305571428571,76.1763857142857,97.2780428571429,5.95903614457831,6.77581232358003,-0.241789,-0.154065,-0.057612,14149295,"Y"
"12","BA",2010-06-27,201026,871,14.0353857142857,21.2910571428571,29.8576142857143,0,8.1479,126.0891,0.877342857142857,0.958957142857143,1.00484285714286,31.7745285714286,79.4462571428571,98.0304714285714,6.70120481927711,5.77077067125645,-0.53895,0.708363,-0.315589,14149295,"Y"
"13","BA",2010-07-04,201027,830,13.9787714285714,21.4310428571429,30.5856571428571,0,6.7808,80.996,0.876271428571428,0.958628571428571,1.00441428571429,27.1934571428571,81.2956285714286,98.5393428571429,6.33493975903614,6.5230821686747,-0.747883,0.213283,-0.358106,14149295,"Y"
"14","BA",2010-08-01,201031,430,13.4007285714286,20.9969714285714,31.0082142857143,0,4.2743,39.0235,0.876571428571429,0.958185714285714,1.00472857142857,25.8091142857143,77.9563,97.9416428571429,6.02409638554217,7.43584292598967,-1.016151,-0.505657,-0.489378,14149295,"Y"
"15","BA",2010-08-08,201032,403,11.5558571428571,20.9002571428571,31.3197428571429,0,2.9734,23.0303,0.8778,0.960014285714286,1.00707142857143,21.0494428571429,72.7380142857143,98.3239857142857,5.23855421686747,8.9975487091222,-1.061556,-0.56432,-0.385629,14149295,"Y"
"16","BA",2010-08-15,201033,398,12.3199428571429,20.2121714285714,30.7358,0,2.4957,52.1836,0.877114285714286,0.960228571428572,1.0064,24.2258714285714,73.6566,95.9316285714286,5.83855421686747,7.56592853700516,-1.118011,-0.66613,-0.322956,14149295,"Y"
